Name,Current Company/Employer,Past Companies,Description,Key Areas of Interest/Expertise,In what capacity do you want to help out?,Advisor Location.,Berkeley SkyDeck or Milano,id
Maureen Haverty,Seraphim Space,"Astra, Apollo Fusion, National Nuclear Lab","COO and early stage employee at Apollo Fusion, acquired for $145M in 2021 by Astra. Acquisition was one of the largest ever acquisitions of a space subsystem company. Now a deeptech VC investor at Seraphim Space. PhD in Nuclear Engineering.","Deeptech, Climate, Investing, Hardtech, Frontier Tech, Energy, Investing",Mentor,USA/Canada,Berkeley Skydeck,recN7lQwfOWma2sp2
Uri Gilad,Google,"MobileIron (purchased by Ivanti), Kaltura, IBM, CheckPoint, CloudShare ","I have amassed significant knowledge in Data Governance (Wrote the book: Data Governance, the definitive guide!) security and regulations, and I want to give back! ","Data Governance, Data Security, Big Data, Regulations ",Advisor,USA/Canada,Berkeley Skydeck,recNEuWHEdL9XfeMq
Ankush Bagotra,Meta Inc,"Synopsys ,  2 co-founded startups in E-commerce/E- Learning ","   I bring in 18+ years of engineering/product experience and scaling worldwide teams to deliver high impact products for both consumers and enterprises. Currently, I work at Meta as Product Management Leader driving strategy and execution for Real Time Communication for AR/AR and Family of App products. I already have experience mentoring startups for UCLA and BITS Pilani, India Angel Network and most recently at Alchemist.    These are some of key professional achievements about my career experience: Led the integration of a $200M acquisition with unified product roadmaps and positioning for customers, sales, and marketing in 2017, grew the integrated business 15% annually.  Launched 3rd party app ecosystem, pioneer in EDA industry, for six products worldwide for 500+ Enterprise customers that helped with an 15% additional revenue upside impact of 30M annually. Built and managed a world class team of 65 people from scratch in USA, India, Europe, China and Sri Lanka to manage 400+ Enterprise customers. Launched a customer success and support excellence center in Sri Lanka and scaled team to 100+ to support worldwide Engineering, Product, QA and Customer success roles.  Conceptualized and deployed a unified Real Time Communication strategy for Family of App and Reality Labs products at Meta with 10% incremental upside for Meta topline metrics and 3X resource efficiency. Authored 8 patents in AR, VR, NFT and Real Time Communication. ","People Leadership (Scaling teams worldwide), Product Management, Customer Growth and building Revenue Pipelines, Alliance Partnership, Product Market Fit for both Enterprise and Consumer products",Mentor,USA/Canada,Berkeley Skydeck,recNEz9Eigl2E7lba
Guillermo Repizo,self-employed,"Caspr Bio, Amazon","With more than 20 years of experience in R&D and entrepreneurship, and backed up by more than 30 original research publication in peer reviewed journals and patent applications, my main mission is to build and manage innovative projects in life sciences. Based in San Francisco, I am in an ideal location to promote innovation and new technologies in the Biotech field.  Skills  • Life Science Research. Molecular Biology. Bioinformatics. Microbiology. Fermentations. Protein engineering & purification. CRISPR technology.  • Active presence in the Venture Capital ecosystem. IndieBio NY mentor. Start up advisor","As an Advisor, my primary expertise lies in assisting start ups to launch and expand their businesses. I have a proven track record of creating startups and mentoring early-stage companies. My skills include the ability to guide and manage companies from ideation to realization, as well as possessing investment acumen to discern whether a project is worth pursuing or should be abandoned quickly. In this role, I will be providing guidance and support in building and advising companies.",Advisor,USA/Canada,Berkeley Skydeck,recNF8Dii3HgPJ929
Praveen Sampath,Facebook,Qualcomm ,"I’m a Product Manager with 17 years of professional experience, specializing in product strategy, go-to-market execution, NPI, P&L management, and product development. I have a passion for developing and launching cutting edge technologies that include hardware platforms, connectivity and AI powered software tools. In my current role, I lead the product management and strategy function for a disruptive wireless solution development and licensed by Facebook. I also serve as a product management coach at UC Berkeley providing guidance to Fortune 500 product professionals on new product ideation and value creation.","Product Management, Go-to-Market Strategy, Cross-functional Leadership, Product Roadmaps, New Product Introduction (NPI), Risk Management, P&L Management, Stakeholder Management Market Segmentation, KPIs, Channel Enablement, Customer Success",Mentor,,Berkeley Skydeck,recNGlki4MnHOTqRw
Mosea Kim,Strivacity,"Expel.io, Bill.com, Neustar, SugarCRM"," Build from scratch and scale up sales development programs at fast growth organizations. Mentor, train, and provide guidance for sales leaders and reps ",Specialties: Building & Scaling SDR and Sales Teams | Sales Enablement & Onboarding | Salesforce Reporting | Lead Management Process | Outbound Prospecting | Sales Technology | Demand Generation | Social Selling | Sales Incentive & Compensation | Account-based Sales Strategy,Mentor,USA/Canada,Berkeley Skydeck,recNKfd3Gv96vyrnt
Jeff Kostermans,Glia,"Zignal Labs, LeadGenius, Lucidworks, Databricks, Taleo, LeadGenesys, Responsys, Macromedia/Adobe","SaaS demand generation, marketing ops, BDR mgmt expert with extensive experience scaling startups from zero to to over a billion in revenue.  ","SaaS, Fintech, Martech, AI / ML",Advisor,USA/Canada,,recNRzrPqx9gDhTTN
Dogakan Toka,CREA - Managing Partner/ Co-founder,"Deloitte Consulting, Courtyard Ventures, Skydeck, CREA (Co-founder) ","Dogakan is a managing partner and co-founder, leading strategy and operations at Crea.  Prior to Crea, Dogakan spent nearly a decade as a management consultant, where he led strategy & analytics projects at Fortune 500 technology and consumer business companies including Apple, Adobe, Walmart, Kohl’s, Google, Nike, Kohl’s, Macy’s, Costco, Target, Activision Blizzard…  During his studies, Dogakan co-founded Haas’ first student-led venture fund - Courtyard Ventures, led Berkeley Entrepreneurs Association as co-president and interned at Skydeck as business strategist to support its global expansion.  Dogakan holds an MBA from UC Berkeley and a BS in Engineering from Sabanci University.","- Product Strategy, Product Development and Go-to-market Strategy",Advisor,USA/Canada,"SkyDeck Europe, Milano",recNUu8YrqM62B4fN
Gilles Allain,FrontLight Consulting,"Moteeve Inc, Tango Networks, BroadHop, Cellon, Symbian, Nokia Networks, Ericsson","Passionate about new technologies and how to bring them to market, my core expertise is to launch innovative B2B software solutions, drive highly complex sales engagements and maximize company revenue. With a dual background in engineering and business (MBA) I excel at articulating and delivering advanced value propositions to key verticals such as telecom, retail, FSI. With strong customer centric values and integrity mindset, I also build high-performing teams, communicate a compelling and inspired vision, empower them through comprehensive sales enablement, effective sales processes and supportive coaching.","telecom, cybersecurity, AI/ML, AdTech, MarTech, big data analytics, edge computing",Advisor,,"SkyDeck Europe, Milano",recNVEDi7NTbBZim7
Thomas Falck,,,,,,Europe,"SkyDeck Europe, Milano",recNWzAxK9brQZHDL
Brayon Fremin,Berkeley Lab (JGI),"Stanford School of Medicine, Berkeley Lab","I have a PhD in Genetics from Stanford, focused on microbiome research. I have been a postdoc at Berkeley Lab for 3 years. I have done Bioinformatics Consulting for several labs and companies, including startups. I am an early-stage founder currently applying for Phase I SBIR grants. ",Biotech; Microbiome,Advisor,USA/Canada,Berkeley Skydeck,recNaXshhKWSiGFHd
Masahiro Nakashima,"Brain Sleep, Inc.","UBS, 3S Capital, Brain Sleep","Graduated from the University of Tokyo and received Ph.D. in theoretical physics in 2012. Since joining UBS in 2012, 6yr+ years working experiences in a wide range of investment banking transactions in M&A and capital markets, mainly in technology sector such as semiconductor, display or electronic components. In 2016, also worked in UBS Hong Kong office and covered venture finance transactions in Southeast Asian internet sector. Joined Brain Sleep in 2019, 3+years of management experience of a sleep-tech startup","Investment Banking, Capital Markets, M&A, Venture financing, Venture Management, SleepTech",Advisor,Asia,Berkeley Skydeck,recNiTzmgEQz1pgwW
Liron Langer,Nielsen Innovate ,"Nielsen, Insights, Verint Systems, Vocaltech","A serial entrepreneur and investor, tech background Web3 and passion to work with talented founders",Web3 AI Media Tech Product BizDev ,Advisor,Europe,Berkeley Skydeck,recNjtwmg2MX3NE8C
Russell Carrington,"None currently, formerly at Berkeley Lab","Berkeley Lab, two defunct startups, Keystone Strategy","I recently stepped down as the Chief Technology Transfer Officer at Berkeley Lab. I've also co-founded two companies, worked as a management consultant, and conducted PhD-level scientific research.","Leadership, team-building, customer discovery, go-to-market strategy, IP, technology development",Mentor,,Berkeley Skydeck,recNvfKzuMvvUWUZW
